feature,importance_gain,importance_split,rank_gain,rank_split,category
miss_AL_85,0.0,0.0,631,407,missingness_indicator
miss_AL_105,0.0,0.0,632,406,missingness_indicator
miss_AL_106,0.0,0.0,633,405,missingness_indicator
miss_AL_108,0.0,0.0,634,423,missingness_indicator
miss_AL_109,0.0,0.0,635,424,missingness_indicator
miss_AL_139,0.0,0.0,636,425,missingness_indicator
miss_AL_138,0.0,0.0,637,426,missingness_indicator
miss_AL_136,0.0,0.0,638,443,missingness_indicator
miss_AL_135,0.0,0.0,639,442,missingness_indicator
miss_AL_133,0.0,0.0,640,441,missingness_indicator
miss_AL_132,0.0,0.0,641,440,missingness_indicator
miss_AL_130,0.0,0.0,642,439,missingness_indicator
miss_AL_129,0.0,0.0,643,438,missingness_indicator
miss_AL_127,0.0,0.0,644,437,missingness_indicator
miss_AL_126,0.0,0.0,645,436,missingness_indicator
miss_AL_124,0.0,0.0,646,435,missingness_indicator
miss_AL_123,0.0,0.0,647,434,missingness_indicator
miss_AL_121,0.0,0.0,648,433,missingness_indicator
miss_AL_120,0.0,0.0,649,432,missingness_indicator
miss_AL_118,0.0,0.0,650,431,missingness_indicator
miss_AL_117,0.0,0.0,651,430,missingness_indicator
miss_AL_115,0.0,0.0,652,429,missingness_indicator
miss_AL_114,0.0,0.0,653,428,missingness_indicator
miss_AL_111,0.0,0.0,654,427,missingness_indicator
miss_AL_42,0.0,0.0,655,655,missingness_indicator
